Date,Open,High,Low,Close,Volume
"Jun 19, 2020",123,123.75,123,123.65,3.00K
"Jun 18, 2020",124.5,124.5,123.98,124.16,10.00K
"Jun 17, 2020",125.5,126,124.05,124.05,10.00K
"Jun 16, 2020",126,127,125,125.1,68.00K
"Jun 15, 2020",125,126.99,118.5,121.86,20.00K
"Jun 12, 2020",124.6,126.95,124.6,126.11,7.50K
"Jun 11, 2020",126.5,127.2,125,126.63,12.50K
"Jun 10, 2020",126.05,127.4,125,126.21,23.50K
"Jun 09, 2020",125,128,125,125.48,19.50K
"Jun 08, 2020",129.3,129.3,127,127.97,7.50K
"Jun 05, 2020",124,128.5,124,127.82,27.00K
"Jun 04, 2020",126,126,124,124.59,7.50K
"Jun 03, 2020",128,128,125.21,126.04,26.50K
"Jun 02, 2020",125.25,129,125,127.89,18.00K
"Jun 01, 2020",127,128,125.55,125.55,9.50K
"May 29, 2020",127.6,129.3,127.5,128.5,15.00K
"May 28, 2020",128,130,128,130,2.50K
"May 21, 2020",130,131.9,130,130,15.50K
"May 20, 2020",128.25,130.5,128.25,129.87,10.50K
"May 19, 2020",128,130.5,128,128,8.00K
"May 18, 2020",135.75,135.75,129,129.89,8.50K
"May 15, 2020",126.65,130,124.1,128.74,16.00K
"May 14, 2020",127.7,128,126.5,126.69,10.50K
"May 13, 2020",129.29,131,129,129.45,28.50K
"May 12, 2020",125.5,129.99,125.5,129.29,33.50K
"May 11, 2020",124.48,124.48,123,123.05,1.50K
"May 08, 2020",128,128,124,124.55,30.00K
"May 07, 2020",130,131,126.6,126.6,19.00K
"May 06, 2020",131.08,131.08,128.5,129.21,21.00K
"May 05, 2020",131.1,132.2,129,131.69,45.00K
"May 04, 2020",130.03,133,130.03,131.07,27.00K
"Apr 30, 2020",134.5,136,132,133.24,63.00K
"Apr 29, 2020",134.49,135,132.12,133.63,77.00K
"Apr 28, 2020",128.88,134,128.88,132.07,125.00K
"Apr 27, 2020",128,128,120.73,125.28,57.00K
"Apr 24, 2020",133,133,128,130.51,43.50K
"Apr 23, 2020",130,134.5,122,131.8,272.00K
"Apr 22, 2020",129.99,132.49,129.99,130.46,146.50K
"Apr 21, 2020",129,135.5,127,129.29,279.00K
"Apr 20, 2020",132,132.22,128.12,132.22,453.50K
"Apr 17, 2020",123,123,123,123,43.50K
"Apr 16, 2020",113.61,115.65,113.6,114.42,13.50K
"Apr 15, 2020",120.5,123,117.55,118.06,40.00K
"Apr 14, 2020",113.83,119.23,111,118.52,141.50K
"Apr 13, 2020",109,112,106.1,110.92,143.00K
"Apr 10, 2020",108.5,112,108.5,110.52,16.00K
"Apr 09, 2020",113,113.5,110,110.26,38.50K
"Apr 08, 2020",106.11,111,106.11,109.78,47.00K
"Apr 07, 2020",109.4,111,106.28,109.76,53.00K
"Apr 06, 2020",113,113,104.95,106.25,148.00K
"Apr 03, 2020",105.5,106.54,101,106.54,93.00K
"Apr 02, 2020",98.49,99.11,93,99.11,104.00K
"Apr 01, 2020",86,92.84,86,92.2,41.50K
"Mar 31, 2020",77.1,86.64,77.1,86.37,17.00K
"Mar 30, 2020",77.9,81.88,77.5,80.6,76.00K
"Mar 27, 2020",72.88,77.69,72.5,76.42,12.50K
"Mar 26, 2020",73.8,79.95,71.73,72.88,45.50K
"Mar 25, 2020",84,84,77.54,77.54,11.50K
"Mar 24, 2020",84.5,84.5,83.82,83.82,10.50K
"Mar 20, 2020",90,92.99,87,90.61,9.50K
"Mar 19, 2020",86.43,91,86.43,90,9.50K
"Mar 18, 2020",95,97,93.43,93.43,79.00K
"Mar 17, 2020",96,105,96,101,90.00K
"Mar 16, 2020",105.5,105.5,102.52,102.52,63.00K
"Mar 13, 2020",109,114.5,108.03,110.83,180.00K
"Mar 12, 2020",120.1,122.5,116.16,116.16,102.00K
"Mar 11, 2020",120,127,120,124.9,199.00K
"Mar 10, 2020",120,124.52,115,122.24,240.00K
"Mar 09, 2020",102,116.39,101.17,116.39,266.00K
"Mar 06, 2020",108,114,107.1,108.78,230.50K
"Mar 05, 2020",105,112,105,109.25,431.50K
"Mar 04, 2020",102,107,100,104.81,229.00K
"Mar 03, 2020",103,104.45,101.25,101.41,247.00K
"Mar 02, 2020",95.2,103.25,95.2,103.04,239.00K
"Feb 28, 2020",95,100,95,96.5,54.00K
"Feb 27, 2020",94.05,96,93.25,94.96,61.50K
"Feb 26, 2020",97.01,99.7,97.01,99.7,7.50K
"Feb 25, 2020",97.06,99,97.06,99,10.50K
"Feb 24, 2020",98,98.8,97.51,97.8,7.00K
"Feb 19, 2020",101,103,100,101.65,18.50K
"Feb 18, 2020",99.3,100,99.3,99.5,1.50K
"Feb 17, 2020",99,99,99,99,0.50K
"Feb 14, 2020",99.8,99.8,99,99,9.00K
"Feb 13, 2020",104,104,100.1,100.29,17.50K
"Feb 12, 2020",101,103,100.3,102.3,17.00K
"Feb 11, 2020",99.9,101,98.5,100.37,24.00K
"Feb 10, 2020",100,100,97,97.28,27.50K
"Feb 07, 2020",98.2,101.9,98.14,98.48,42.00K
"Feb 06, 2020",102.59,102.59,101,101.21,33.00K
"Feb 04, 2020",102.1,103.99,102.1,103.75,9.00K
"Feb 03, 2020",102.2,103,101.5,102.45,38.00K
"Jan 31, 2020",105.1,105.9,104.69,105.16,15.00K
"Jan 30, 2020",104.21,105.99,104.21,105.04,20.50K
"Jan 29, 2020",105.5,106.5,105,105.1,5.50K
"Jan 28, 2020",108,108.7,106.6,106.94,27.50K
"Jan 27, 2020",108.55,111.01,108.01,108.46,142.50K
"Jan 24, 2020",103,109,102.2,108.19,175.00K
"Jan 23, 2020",104.85,107.97,103.51,104.44,188.00K
"Jan 22, 2020",105.5,105.5,102.5,103.57,93.00K
"Jan 21, 2020",102.15,106.8,101.5,105.21,186.00K
"Jan 20, 2020",103.5,103.99,103,103.46,53.00K
"Jan 17, 2020",102.61,105,102.31,104.39,59.00K
"Jan 16, 2020",103.25,104,102.4,103.65,31.00K
"Jan 15, 2020",103.98,104.5,103,103.2,50.00K
"Jan 14, 2020",104.2,105,102.46,102.65,76.50K
"Jan 13, 2020",103,103.7,101.5,103.46,33.50K
"Jan 10, 2020",100.02,103.98,100,103.09,88.50K
"Jan 09, 2020",99.89,100.5,97.7,100.08,83.50K
"Jan 08, 2020",96.5,100.05,96,96.48,72.50K
"Jan 07, 2020",101,101,98.01,99.27,44.00K
"Jan 06, 2020",100.1,101.5,99.09,99.1,51.50K
"Jan 03, 2020",106,108.25,103.55,104.12,92.50K
"Jan 02, 2020",104.5,107,104.25,105.99,194.50K
"Jan 01, 2020",103.37,104,101.82,103.28,58.00K
"Dec 31, 2019",105,105.5,103,103.37,52.00K
"Dec 30, 2019",103.25,105.5,103.25,104.26,125.50K
"Dec 27, 2019",100.3,103,99.52,102.46,193.00K
"Dec 26, 2019",99,101,98,100.66,66.50K
"Dec 24, 2019",96,97.75,95.01,97.38,92.00K
"Dec 23, 2019",98.3,100,96.3,96.62,95.00K
"Dec 20, 2019",102.9,102.9,98.7,100,65.50K
"Dec 19, 2019",106.01,107.6,100.26,100.64,191.50K
"Dec 18, 2019",99.97,106.05,99,105.53,291.50K
"Dec 17, 2019",104.45,104.99,100,101,77.50K
"Dec 16, 2019",101.1,103.75,101.1,103.33,164.00K
"Dec 13, 2019",98.9,101,98,100.48,45.00K
"Dec 12, 2019",101,101,98,99.5,21.00K
"Dec 11, 2019",102,103,100.1,100.35,101.50K
"Dec 10, 2019",101,103,100,101.75,60.00K
"Dec 09, 2019",103.45,107,98.5,100.2,235.00K
"Dec 06, 2019",99.5,103.74,99.5,102.3,364.50K
"Dec 05, 2019",95.05,98.97,94.5,98.9,267.00K
"Dec 04, 2019",92,94.81,90.75,94.26,120.00K
"Dec 03, 2019",95.75,95.75,91.01,92.05,101.00K
"Dec 02, 2019",92.51,95.49,91.9,94.84,383.50K
"Nov 29, 2019",94,95.5,90.75,91.74,311.00K
"Nov 28, 2019",93.45,95,91.25,92.73,166.00K
"Nov 27, 2019",93.85,93.85,91.5,92.18,38.00K
"Nov 26, 2019",96.1,98.95,92.16,92.2,239.00K
"Nov 25, 2019",96,98,96,97.01,45.00K
"Nov 22, 2019",93.75,97.5,93,96.02,61.50K
"Nov 21, 2019",98,100,93.74,93.74,68.50K
"Nov 20, 2019",100.02,100.5,97.25,98.67,76.00K
